"","X","Full.text","Year","Publication"
"20041",20041," Only 20% of America's adolescents get the recommended nine hours of shut-eye on school nights, and more than 1 in 4 report sleeping in class, according to a poll by the National Sleep Foundation. School-age children and teens need at least nine hours of sleep a day, according to the National Center on Sleep Disorders Research at the National Institutes of Health. But the poll, released Tuesday, finds that sixth-graders are sleeping an average of 8.4 hours on school nights, whereas 12th- graders sleep just 6.9 hours, two hours less than recommended. The Sleep Foundation poll interviewed 1,602 adult caregivers and their children age 11 to 17. It had a margin of error of 2.4 percentage points. Among the findings: * About 28% of high school students said they fall asleep in class at least once a week, 22% have dozed off doing homework and 14% have arrived late or miss school because they overslept. * About half of adolescent drivers -- 51% -- have driven while drowsy in the last year. * Eighty percent of students who get the recommended amount of sleep are achieving A's and Bs in school, whereas those who get less sleep are more likely to get lower grades. * More than one-quarter -- 28% -- of adolescents say they're too tired to exercise. * Only 20% said they get nine hours of sleep on school nights, and 45% reported sleeping for less than eight hours. Credit: From Times wire reports ",2006,"Los Angeles Times; Los Angeles, Calif."
"19821",19821," A breakdown of the recommended amount of sleep per day, by age (*including naps): CHILDREN 11 to 13 hours* (3 to 5 years) 9 to 11 hours (5 to 12 years) ADOLESCENTS 81/2 to 91/2 hours ADULTS 7 to 9 hours SOURCE: The National Sleep Foundation, a Washington nonprofit group ",2006,"The Washington Post; Washington, D.C."
"22493",22493," In a quest to look younger, be healthier and feel more vital later in life, increasing numbers of men, just like Jeffry Life, are turning to testosterone and human growth hormone. Use of both hormones is controversial. Read on: Testosterone: ""Older men . . . go to their physicians and say, 'I don't have energy, I don't have sex interest, I can't get around,' "" said Dr. Thomas Gill, professor of geriatric medicine and director of the Center on Disability and Disabling Disorders at the Yale University School of Medicine. Increasingly, what they get is testosterone. In 1999, 64,800 prescriptions were filled in the U.S.; by 2008, that number had jumped to 3.3 million, according to IMS Health Inc., a company that provides data to the healthcare industry. One reason for this growth, Gill says, is the creation -- and heavy marketing -- of a gel form of testosterone, which was previously available only via injection, patches or implantable pellets. Low testosterone levels do become more common in men as they age: Levels start falling at around age 30 and decrease by 1% to 2% per year, with ranges generally falling between 300 and 1,000 nanograms of testosterone per deciliter of blood depending on age. The decline may increase past 65. But it is unclear whether the issues associated with aging in men -- decreased sex drive, less energy, cognitive impairment and reduced muscle mass -- are due to a decrease in testosterone or to other changes that come with aging, Gill says. Long-term studies on effectiveness of the therapy are lacking, and the few small, shorter-term trials that exist have produced mixed results. A 2008 study published in the Journal of the American Medical Assn. looked at mobility, cognition, bone mineral density, quality of life and other issues in 237 men in the Netherlands. The participants, ages 60 to 80, were given either a placebo or testosterone over a six-month period. Lean body mass increased and fat decreased in the testosterone group, but mobility and muscle strength did not change. There was improvement in insulin sensitivity (in which cells become less sensitive to insulin, forcing the body to overproduce it). But more of the testosterone group had metabolic syndrome, a cluster of health risk factors that include obesity, high blood pressure, inflammation and high cholesterol. No difference in quality-of-life measures (such as vitality, mood improvements and social functioning) was detected between the two groups. A New England Journal of Medicine article from October 2006 reported similar results in a two-year study of 87 elderly men. The Mayo Clinic authors found that increasing testosterone in men with low levels did not increase muscle strength, physical performance or quality of life. Doctors are concerned about side effects associated with testosterone. Potential problems include the worsening of sleep apnea, enlargement of the prostate and overproduction of red blood cells, which can cause a stroke if the levels climb too high. And because the treatment can raise blood levels of prostate-specific antigen (PSA), the marker screened for in prostate cancer tests, it may lead to detection of very slow-growing cancers that would never have presented problems to the patient. This can lead to unnecessary treatments with potential for side effects such as incontinence or impotence. According to the National Institute on Aging, men who have extreme testosterone deficiencies related to damage of the testes or pituitary glands from trauma, infections or tumors may benefit from testosterone supplementation. But the institute says more research is needed to see if replacement therapy will help those without such extreme issues -- and to fully understand the potential long-term side effects. To try and fill in some of the unknowns, Gill and others are working on one of the largest testosterone trials to date, to take place at 12 medical centers across the country. Eight hundred men with low testosterone will receive either testosterone or a placebo for a year and be monitored for changes in vitality, sexual and cognitive function, anemia, bone density and cardiovascular health. Potential participants are currently being screened; more information can be found at www.ttrial.org. Human growth hormone: Human growth hormone is produced by the pituitary gland, located at the base of the brain. The hormone helps fuel growth and maintains tissues and organs; after age 25, the amount of hormone released begins to decrease, dropping by about 50% every seven years, according to some estimates. Supplementation was initially used just for children with HGH deficiency, which made them unable to attain a ""normal"" height. It has also been used for adolescents and adults who have had their pituitary gland removed because of a tumor or other issue. The hormone is administered by injection. Though it has not been approved by the Food and Drug Administration for treating elderly individuals experiencing physical decline, it is being used ""off label"" for this purpose. Again, research on the safety and benefits of HGH is mixed, and the National Institute on Aging says there is no conclusive evidence that the hormone can reduce the physical decline that comes with age. A 2007 Annals of Internal Medicine review of HGH did find some benefits. The article, which analyzed 31 research studies on a total of 220 elderly male participants, observed that those who were treated with HGH had reduced fat mass and increased lean body mass. The review also found that participants' weight, bone density and serum lipid levels did not change. But the men who got the hormone were more likely to have carpal tunnel syndrome, fluid buildup in the soft tissues or to develop diabetes. The National Institute on Aging cautions against using growth hormone therapy for anti-aging purposes, citing only short-term studies on its effectiveness as well as potential risks such as diabetes, joint pain, heart failure and cancer. By time people are 80, HGH levels are virtually undetectable, but that may be a protective mechanism, according to Dr. Shlomo Melmed, senior vice president and dean of faculty at Cedars Sinai Medical Center. ""It is part of the normal aging process and may be protective against cancers related to aging,"" he said. ""The science is against this -- it is a dangerous medicine and has a lot of side effects."" HGH therapy is also controversial because of its cost, which can run upward of $15,000 a year, says Dr. Ronald Swerdloff, professor of medicine at the David Geffen School of Medicine. ""We need more data on effectiveness and adverse effects,"" Swerdloff says. ""An industry has developed . . . where special clinics or groups are promoting testosterone and HGH rather indiscriminately for people. . . . But nothing we do will prevent people from getting older."" -- health@latimes.com ",2010,"Los Angeles Times; Los Angeles, Calif."
"4433",4433," Working women sleep about 25 minutes less per night than their male counterparts, though the average woman sleeps slightly longer than the average man, researchers said last week. ""One possible explanation is that a woman who works still has to maintain a lot of household duties,"" said Jeff Biddle, assistant professor of economics at the University of Michigan. ""They aren't spending much less time doing those things, and their husbands aren't sharing chores with them, so the time has to come from somewhere and often it comes from sleep time,"" he said. The study of the sleep habits of 1,500 people also found that people who hold jobs sleep less than people who don't work and that for every extra hour worked, a person sleeps 15 minutes less. Men who earn a higher wage per hour sleep less than lower-paid men, the researchers found, but that pattern fails to hold up for women. Wide variances in the amount of time people sleep were turned up by the study, with 10% reporting they sleep less than 6.5 hours a night and 10% reporting they sleep more than 9 hours. ""Although it's true we do need a certain amount of sleep, we do have some control,"" Biddle said. ""How much time is valued is going to enter into that decision."" ",1989,"Los Angeles Times (pre-1997 Fulltext); Los Angeles, Calif."
"25268",25268," 愼㸰 The earliest scouting report on Daniel Murphy, from his middle school coach in Jacksonville, Fla., went something like this: ""Not the fastest guy. Doesn't have a great arm. But he can hit."" More than a decade and a half later, when Murphy became a free agent for the first time, the scouting reports read similarly. Murphy is not a strong defensive player. He is not a stolen-base threat. Murphy is a hitter, always has been, one uncommonly consumed by the craft. The Nationals will pay him $37.5 million over three years in the hope that their lineup will benefit from his commitment. Long before the postseason fates exposed the highs and lows of Murphy's game under the brightest possible lights, before he could not stop homering -- then could not field a ground ball that helped the World Series pivot the Royals' way -- Murphy was a freshman at Englewood High School, crushing junior varsity pitching. When Coach Lee Geiger pulled him up to the varsity, he threw him into the eighth inning of a game against a highly ranked team. Murphy hit a game-winning single in his first at-bat. That single, Geiger remembers, went through the left side of the infield. Murphy wasn't pulling the ball much then, still developing the confidence to trust his hands on inside pitches. Once he learned to do that, and thanks in part to unusually long hours in the batting cages, he began to separate himself from other high school hitters. ""It was all upper .300s, .400s the rest of his high school career,"" said Geiger, who can still recount that middle school scouting report. ""He's one of the guys that always hit, worked in the cage. He worked on his fielding, but you could tell hitting was his love."" No one heavily recruited Murphy out of high school. Only one school, Jacksonville University, offered him a scholarship. New York Mets scout Steve Barningham saw Murphy play at Jacksonville, where he grew into the Atlantic Sun player of the year as a junior in 2006. Barningham liked the short swing, the fact that Murphy hardly ever swung and missed, and his presence. Most amateur players, Barningham said, allow pitchers to dictate pace. Professional hitters control it, with routine and patience and presence. Murphy, he said, was ""in complete control."" Intrigued, but not sure how to sell a player with no obvious ""plus"" tools to the Mets' front office, Barningham took Murphy to lunch. ""One of the smartest things I ever did,"" Barningham says now. ""Five minutes into that lunch, I was blown away. I had never heard an amateur remember his at-bats in such detail, remember sequences,"" Barningham said. ""His at-bat recall was as good as I'd ever heard anywhere."" Talking a good game Scouts check up on the players they sign as those players make their way through the minor leagues. Often, early on, players don't know who to confide in, because coaches control their fate and players are their competition. Barningham would answer the phone and listen. ""The more he played, the more [calls] came,"" Barningham said of Murphy. ""He just loves to talk hitting and talk about his at-bats. I simply answer the phone and he goes. He loves to talk about hitting."" Murphy can recall at-bats -- his and those of teammates -- pitch by pitch. Sit near him in the dugout, and he will volunteer his thoughts on the fastball he saw in that 2-0 count, or about the break on that particular reliever's slider. Murphy hollered ""let's go!"" when he took the infield for the first time in late February. Known as one who chatters, Murphy jabbered through all of spring training's sometimes dull defensive drills, telling teammates good job, that he had it or they did. But on the bench and in the clubhouse, he talks about hitting. ""He loves talking about hitting,"" Nationals first baseman Ryan Zimmerman said. ""That's the kind of guy he is. Playing against him so long, you could get a feel for who he is. My assumption of what he is like is pretty spot on."" Rick Schu said he was struck by the rigid structure of Murphy's hitting work, by his consistent commitment to drills aimed to train his eyes for recognizing pitches. ""He sees the ball really well. He swings at strikes, gets into hitter's counts,"" Schu said. ""I think a lot of it is just his preparation with the eye stuff."" Dusty Baker, who wrote a book about hitting, said Murphy uses hitting drills he's never seen before. ""The guy's work habits are outstanding,"" Baker said. "". . . He's a student of the game, which is really going to rub off on some of the guys here. He's got these balls cut in half that he uses, this ball goes this way and this ball goes that way. I've never seen that. He's a real student. Big time. He's the epitome of a tough out."" Ready to battle at the plate No one in baseball struck out less frequently than Murphy in 2015, who did so in 7.1 percent of his plate appearances. Nationals General Manager Mike Rizzo used the word ""grit"" over and over as he explained the decision to sign Murphy. His pitchers hated facing Murphy, Rizzo remembered. He did not give in. ""Everybody I played against was always better than me,"" Murphy said. ""[Being gritty] was the only way they'd let me stay. I was never the best player."" Barningham remembers Murphy's at-bats lasting two or three minutes, longer than most. Zimmerman said Murphy's pesky prowess at the plate comes not just from a knack for contact, but from a mind-set. Murphy said he developed that mind-set over time. When you're constantly thinking about hitting, it can be challenging to stop thinking enough to hit. ""For me, it's about feeling good in there. Once you feel good, we tend to want to hit more because it feels good. But once you hit more, leave it,"" Murphy said. ""If you don't feel good that day, so what? The guy on the other side doesn't know that. . . . You go in there and you talk yourself out of at bats because you don't feel perfect. You're going to get the at-bats whether you want them or not."" Murphy is a .288 career hitter whose 14 home runs last year were a career high. He is known for his contact, or at least he was until that incomprehensible postseason run in which he hit seven home runs in nine games, including six straight. Murphy said the outburst was not an aberration but the product of tinkering with Mets hitting coach Kevin Long, of a greater emphasis on using his lower body and choosing to ""do damage."" ""If he sees it, he thinks he can hit it, and even if it's not his strength he'll take the hit,"" Barningham said. ""I think what he's done over the last few years is, 'All right, maybe that's a pitch I can hit for a single, but that's not what I'm looking for here.' . . . Daniel got into a mind-set of 'attack my strength instead of protect my weakness.' "" Wherever he hits in the order -- second, fifth, sixth, seventh, wherever -- Murphy will play second base. He has acknowledged he has work to do there. Baker said he's seen him committed to improving there. The Nationals understood part of what they were getting in Murphy was what could politely be called a defensive reclamation project. They signed him because of the other part of his game, the main part: They signed a hitter, through and through. chelsea.janes@washpost.com ",2016,"The Washington Post; Washington, D.C."
"14794",14794," ANOTHER HEADACHE: When headaches occur during sleep, they usually crop up during the REM, or rapid eye movement, phase of sleep. Because many people sleep longer on weekends, there is a longer REM phase. This increases the chances of getting a headache. SLEEP NEEDS: Not all people need the same amount of sleep. A study in Scotland found: Eight percent of people need no more than five hours; the majority needed seven to eight hours and 13 percent needed nine to ten hours of sleep. A few needed more than 10 hours of sleep. Illustration PHOTO; Caption: PHOTO: WEEKEND HEADACHES: Waking up with headaches on the weekend? Caffeine might be the culprit. Caffeine narrows blood vessels, something your body gets used to. If you sleep in and don't get the caffeine, the blood vessels widen and a headache can be the result. ",2000,"Chicago Tribune; Chicago, Ill."
"15499",15499," If you're half asleep as you read this, I'm not surprised. A new study shows that Americans are not getting nearly enough sleep. Two-thirds of us fall short of the eight hours we need nightly for optimum functioning, and the average American adult gets fewer than seven hours a night. According to the study, released this week by the Washington, D.C.-based National Sleep Foundation, we are working more and sleeping less than ever before. ""We're leading the way among industrialized nations in piling up a sleep debt that takes a toll in every area of our lives,"" says Dr. James Walsh, vice president of the foundation, a nonprofit group aimed at improving public health and safety by educating the public about sleep and sleep disorders. ""We're less alert, more tense, more temperamental. . . . We're finding it harder to get through the day."" One-quarter of us have difficulty getting up for work at least a couple times a week. Almost one in seven say they're late for work a few days each month because of sleepiness, and 4% skip work occasionally because they're just too tired to go. Almost one in 10 sometimes fall asleep at their desks, and more than one-third make a beeline for the bed when they get home because they can't get through the evening without a nap. Some employers have recognized the toll that sleepiness takes on productivity. About 16% of companies now allow workers to nap at work. Almost half of their employees take advantage of the benefit and work a siesta into their day. Others are forced to catch naps on the sly. Some, like me, slip out to the parking lot at lunchtime to catch 40 winks in the back seat of the car. * The study coincides with National Sleep Awareness Week, which runs through Sunday. Not coincidentally, that's the day we switch to daylight saving time, with its spring-forward ritual that denies the already sleep-deprived a much-needed hour of weekend snooze time. But what, precisely, do the sleep experts expect us to do about our shut-eye shortfall? I don't know anyone who deliberately deprives himself or herself of sleep. If I'm sleep-starved, it's not my fault. Blame my boss, my kids' teachers, the barking dog next door that keeps me up at night. But Walsh considers that a cop-out, put forth by someone who just hasn't made sleep enough of a priority. He argues we're not just hostages to our responsibilities, but also to bad habits that sabotage our sleep needs. ""I talk to a lot of people who say they can't possibly get eight of hours of sleep a night, and I inquire about what they do,"" he says. ""They say, 'I just have to have time to myself to veg out,' so they watch TV for an hour or they read for an hour."" In fact, the study showed that 43% admit they stay up later than they should because they're watching TV or are on the Internet. ""I'm not saying those things are terrible, but that given the choice between getting enough sleep and watching TV, it seems like that's a no-brainer,"" Walsh says. Walsh has structured his own life so that he gets his eight hours each night. ""It sounds trivial, but I just decided it's that important."" He sympathizes with single parents or split-shift workers whose unforgiving schedules dictate too little sleep. ""But most of us just need to restructure our lives to respect our sleep needs. . . . When my children were old enough to stay up past 10, I just said good night to them at 9:30, and I went off to bed."" * Perhaps we haven't made sleep a priority because we don't understand the toll lack of sleep takes. And because sleep, in and of itself, isn't much fun. ""The problem is sleep doesn't provide immediate gratification like other recreational activities, like watching television or visiting with friends,"" Walsh says. ""Because you're unconscious, it doesn't feel pleasurable. If we could come up with a sleeping pill that could result in people feeling like sleep is entertaining, we would have everyone getting enough sleep."" Short of that kind of medical breakthrough, what has to happen is both a cultural change and a personal commitment to more sleep. ""Being able to say, 'I'm exhausted,' has become a badge of honor,"" Walsh says. ""It's a macho thing. There's this idea that anybody who sleeps eight hours is lazy and can't possibly be productive. So people brag, 'I can get by on five hours of sleep or four hours of sleep.' ""But there's a big difference between getting by and getting enough. Try getting up well-rested, after a few good nights of sleep. And see if you don't know what I mean."" * Sandy Banks' column runs on Fridays and Tuesdays. Her e-mail address is sandy.banks@latimes.com. ",2001,"Los Angeles Times; Los Angeles, Calif."
"12765",12765," If you think you can get by on less than eight hours' sleep, you may want to read this book. According to James Maas, a Cornell University psychologist and leading sleep researcher, it's the eighth hour of sleep that leads to peak performance. Maas' research shows that the last stage of REM sleep, which typically occurs in the eighth hour, is the most restorative to the brain. Maas is aghast at Americans' sleep habits--most adults get six to seven hours of sleep a night--and has stats to show what a sorry state we're in. For example, the parents of a new baby lose 450 to 700 hours of sleep in the child's first year of life. Maas also says that adolescents need far more sleep (about 10 hours) than they get (about six hours). The book helps readers assess their own sleep problems and provides instruction on how to develop healthy sleep habits. ",1998,"Los Angeles Times; Los Angeles, Calif."
"22130",22130," Unintended Consequences When a new vaccine was approved in 2000, experts hoped it would protect children against a common bacteria that causes a variety of illnesses, including meningitis. They were not disappointed. The vaccine, known as Prevnar, has resulted in a sharp drop in cases. The question was: Would it also reduce cases in adults? A new study led by Lee Hamilton of the University of Pittsburgh says yes. An analysis of data collected between 1998 and 2005 found that overall there was a 30 percent drop in pneumococcal meningitis caused by Streptococcus pneumoniae. The news, however, is not all good. At the same time, there was a 60 percent increase in strains of the bacteria not covered by the vaccine. The reduction in those covered by the vaccine probably created a void that the other strains filled, the researchers speculated. Perhaps even more worrisome, there was an increase in the number of cases caused by strains of the bacteria resistant to antibiotics. -- Rob Stein DCResident00 wrote: Honestly, if I'm getting meningitis, I could care less what strain of bacteria it is. If this vaccine is making other types of bacteria cause meningitis even more . . . then what's the point? Sleep and the Common Cold Direct evidence of a relationship between cold-catching and sleep has been elusive. A new study published in the Jan. 12 issue of the Archives of Internal Medicine helps to pin down that link. Researchers led by Sheldon Cohen at Carnegie Mellon University in Pittsburgh tracked the self-reported sleep experiences of 153 healthy men and women ages 21 to 55 for 14 days. They then gave each participant nasal drops containing a cold-causing rhinovirus. Not everyone actually developed a cold. Those who slept, on average, less than seven hours per night were nearly three times as likely to develop a cold as those who slept eight or more hours nightly. When researchers looked at ""sleep efficiency,"" the ratio of time spent in bed to time actually sleeping, an even more striking pattern emerged: Those with less than 92 percent efficiency were 5.5 times as likely to develop a cold as those with 98 percent efficiency or better. -- Jennifer Huget chowx417 wrote: I'm usually not susceptible to sickness. A couple Vitamin C's in the morning will often do the trick when I do feel an impending cold, but this month I haven't had such luck. A recent breakup has made me more stressed out and getting less ""sleep efficiency"" than normal. In addition, my weekends have been lined up with late-night clubbing and/or drinking. Conclusion? Sleep deficiency, stress and bingeing is no solution to breakups or avoiding sickness. No VapoRub for Little Ones? Vicks VapoRub, long a medicine-chest staple, may actually worsen little kids' cold symptoms, according to a report in the January issue of the journal Chest. Procter & Gamble begs to differ, saying its product is safe and effective when used as directed. The idea behind the menthol-infused rub is that its strong vapors help open clogged noses and chests and get mucus moving. But research by doctors at Wake Forest University suggests that in young children, with their tiny noses, this may not be a good thing. -- Jennifer Huget Computer_Forensics_Expert_Computer_Expert_Witness wrote: I respectfully disagree. I was diagnosed with chronic-bronchitis when I was 2 (1958), and Vicks VapoRub was part of the therapy until I was 5, and it helped clear my sinuses and allowed me to breathe. smmd2007 wrote: I also got the VapoRub treatment as a kid. I hated the smell of it, but it did make me feel better. Credit: Adapted from voiceswashpostcom/health ",2009,"The Washington Post; Washington, D.C."
"21785",21785," Americans are not as sleep-deprived as they think they are and, in fact, appear to be getting more Z's these days than they got a few years ago, according to an independent analysis of government statistics. The new findings run counter to the widespread public perception that Americans are getting less and less sleep because of increasing workplace demands and the plethora of distractions available around the clock on the Internet and cable television. ""Many Americans work too much, but most do not seem to be cutting corners on their sleep to do so,"" said John P. Robinson, a sociologist at the University of Maryland, who led the analysis with faculty colleague Steven Martin. Their report, ""Not So Deprived: Sleep in America, 1965-2005,"" scheduled for release by the university today, finds that Americans on average got 59 hours of sleep per week in 2005, the latest year for which precise statistics are available. That is three hours more than in 2000. The new numbers contrast significantly with the 2008 ""Sleep in America"" poll, the oft-quoted survey conducted annually by the Washington-based National Sleep Foundation, which advocates for better diagnosis and treatment of sleep problems. Released last week, that survey concluded that Americans get an average of 48 hours of sleep per week. The difference, experts said, reflects the two groups' methodologies. The Sleep Foundation survey asks Americans to estimate how much sleep they typically get. By contrast, the Maryland analysis draws upon detailed ""time-use"" data collected by the U.S. Census Bureau for the Department of Labor Statistics. In that approach, individuals must account for every minute of the previous day. ""This gives us a much better picture of where the time goes than when people just make an estimate,"" Robinson said. The primary factor affecting the amount of sleep a person gets is whether he or she is employed, the new analysis shows. Apparent differences among men and women and people of varying ages and races effectively disappear when individuals' employment status is taken into account. ""Older people sleep more, but that's because they tend to be unemployed,"" Robinson said. ""If you control for those differences, the differences in sleep disappear, too."" Most surprising are the hints in census data that sleep time may be increasing after many decades of virtually no change. The new data show Americans getting an average of 8.5 hours per night in 2005, compared with eight hours in 2000. Most of the extra minutes of weekly sleep are coming on Saturday nights: 9.5 hours of which were spent slumbering in 2005, compared with 8.8 hours in 2000. Friday night slumber grew to 8.9 hours from 8.5, and workweek sleep grew to 8.2 hours from 7.8. Sociologists at the University of Toronto recently published a report of similar trends in Canada. Addressing the contrast with the National Sleep Foundation data, Robinson said he is not surprised that people who are asked to simply estimate how much sleep they get tend to underestimate. ""It's a status symbol,"" he said. ""If you are a good American, you work all hours. It's virtuous in American society to not get enough sleep."" The Sleep Foundation gets funding from the makers of sleep-related drugs and medical devices but says its surveys are conducted independently. Christopher Drake, a psychologist at Henry Ford Hospital's sleep center in Detroit and a board member of the Sleep Foundation, agreed that sleep estimates are not ideal. However, he added, ""Time-use surveys have issues, too. Tossing and turning from insomnia and the time spent 'waking up' or 'falling asleep' is often counted as 'sleep time' in those surveys."" That can lead to overestimates of time spent sleeping, Drake said, adding that part of the difference may also be because the foundation's survey focused on working Americans. Robinson and Drake agreed that averages do not tell the whole story, and that some parts of society may be getting less sleep these days even as others -- the undereducated and unemployed among them -- may be getting more. ""The message we're trying to get across is not that everyone is sleep-deprived, but there are certain segments of the population living with a regular sleep debt, people getting less than six hours per night,"" Drake said. That includes the one-third of night shift workers who report getting less than six hours of sleep per 24 hours, and the 43 percent of people holding down two jobs who say they get a good night's sleep, on average, only twice a month. That is important, Drake said, and not only because sleepiness can lead to automobile accidents and other life-threatening errors. ""Sleepiness is impairing their work, their relationships with their families and pretty much every aspect of their lives,"" he said. One solution: naps. Less than half of the U.S. population takes two or more naps a month, according to the foundation, and 10 percent have taken a nap during a break at work. ""The bottom line for us is to tell people to make sleep one of their number one priorities,"" Drake said. ""Because if you don't do that, then it easily falls to the bottom of the list."" Credit: Washington Post Staff Writer ",2008,"The Washington Post; Washington, D.C."
"12828",12828," 愼㸰 Adult Americans average less than seven hours of sleep a night during the week, even though experts say that most people need eight hours to function at their best. And many folks try to make up for their shortage of shut-eye by sleeping in or napping on the weekends, says a poll out today, confirming a similar poll done in 1995. The National Sleep Foundation, a nonprofit group, commissioned the new survey of 1,027 adults and found: The average adult gets six hours and 57 minutes of sleep a night during the workweek and seven hours and 31 minutes a night on weekends. Men and women report about the same amount of sleep. 38% take at least one nap on the weekends, and 38% say they took a nap during the past two workweeks. The average length of naps is a little over an hour. Experts say the body has a biological need for a certain amount of sleep. If you don't get enough, you eventually have to catch up. ""How many hours you sleep on the weekend is a very good indicator of how much sleep debt you have,"" says Thomas Roth, head of the sleep medicine division, Henry Ford Hospital, Detroit. Young children -- ages 4, 5 and 6 -- usually get enough sleep during the week, so they don't build up a sleep debt. They get up at the same time on weekends, which parents view as getting up too early, Roth says. Other findings from the poll: 51% of men and 42% of women say they would go to sleep earlier if they didn't have a television or access to the Internet. 43% say they are affected a few nights a week or more by at least one symptom of insomnia. For instance, they have difficulty falling or staying asleep. 6% of women and 2% of men report that a doctor has told them they suffer from insomnia. (Researchers estimate that about 10% of the population actually has chronic insomnia or inadequate sleep or poor-quality sleep nightly for a month or more.) 43% report that they snore a few nights a week or more. Of those who snore, 16% say they snore so loudly they can be heard through a closed door, which might be a sign of a sleep disorder. 37% report being so sleepy during the day that it interferes with daily activities. 52% of shift workers (night or evening), compared with 33% of regular day workers, suffer from daytime sleepiness. 66% of men and 49% of women have driven while feeling drowsy, and 23% say they've fallen asleep at the wheel in the past year. 42% incorrectly believe that older people need fewer hours of sleep. Sleep needs remain unchanged as we age. 71% believe the body can successfully adjust to night shift work, but experts say the body never really adjusts because an internal biological clock governs when we are sleepy and alert. That clock is regulated by light and darkness. The survey has a margin of error of plus or minus 3 percentage points. The National Sleep Foundation is sponsoring National Sleep Day on April 2. Sleep specialists across the country will be offering brief, nondiagnostic consultations on sleep that day. For more information about a sleep consultation site in your area, check the foundation's Web site at www.sleepfoundation.org. Illustration GRAPHIC,b/w(Illustration) ",1998,"USA TODAY; McLean, Va."
"15381",15381," One-third of adults got less than six and a half hours of sleep a day during the workweek last year, far below the eight hours recommended by experts, according to the National Sleep Foundation. And --surprise -- one-third of adults suffered from significant daytime drowsiness. Shift workers, who do not work regular day hours, reported getting significantly less sleep during the week than the general population. Occupations that most often involve shift work, according to the Bureau of Labor Statistics, include protective services, like police and firefighters, food service, health care, trucking and transportation. A large share of teachers, nurses and accountants reported losing sleep because of job worries, according to a survey on American sleep habits taken by the furniture retailer Ikea. In addition to job stress, teachers may have trouble sleeping because long summer and holiday breaks tend to wreak havoc with their natural sleep patterns, while nurses may lose sleep because of rotating shift schedules, said Joyce A. Walsleben, director of New York University's Sleep Disorder Center. What can workers do to get more rest? Regular 20 minute naps in the afternoon would be a good start, advises Ms. Walsleben. And employers could help by creating more nap rooms; only 16 percent of workers were allowed to snooze at work last year. KATHLEEN O'BRIEN Graph ''PROFESSIONALS REPORTING LOST SLEEP BECAUSE OF JOB WORRIES'' Teachers: 95% Nurses: 81 Accountants: 77 Reporters: 66 All respondents: 38 Public relations workers: 8 Stock brokers: 7 Lawyers: 5 FIGURES ON AMERICAN SLEEP HABITS AND WORK: 49% of shift workers average less than 6.5 hours of sleep a night during the workweek. 33% of adults average less than 6.5 hours of sleep a night during the workweek. 33% of adults said they would take naps at work if it were allowed. 32% of adults suffer from significant daytime sleepiness. 19% of adults said they make frequent or occasional errors at work due to sleepiness. 16% of adults are allowed to take naps at work. (Sources: National Sleep Foundation ""2000 Omnibus Sleep in America"" poll; Ikea ''Sleep Well'' survey) ",2001,"New York Times, Late Edition (East Coast); New York, N.Y."
"16368",16368," 愼㸰 A better Life; Health, education & science Not getting enough sleep makes people short-tempered and more prone to mistakes, according to a poll of 1,010 people out today from the National Sleep Foundation. The poll also showed that in the days following the Sept. 11 terrorist attacks, sleeplessness soared across the country. Sleep researchers have long emphasized the importance of getting enough shut-eye for health and safety, and some cutting-edge research indicates that not getting enough sleep may promote weight gain, at least in the short term. Now this poll indicates sleep is crucial to good mood. Among the findings: * 64% say that when they do not get enough sleep, they are more likely to get irritated by annoyances such as waiting in line, sitting in a traffic jam or waiting for others who are late for an event or meeting. * 59% say lack of sleep makes them more likely to get upset with children who are noisy or misbehaving. * 62% say they find it harder to make decisions and to listen carefully enough to remember what is said. * 24% say they eat more than usual on days when they haven't had enough sleep. ""If you're sleepy, you are more dissatisfied with life, a little more angry, a little less likely to say you feel relaxed as opposed to tense. You are more likely to say you're sad or pessimistic,"" says James Walsh, president of the National Sleep Foundation and executive director of the Sleep Medicine and Research Center at St. Luke's Hospital in Chesterfield, Mo. Other findings: * In general, 58% say they experience at least one symptom of insomnia at least a few nights a week. Those symptoms might include difficulty falling asleep, waking a lot during the night, waking up too early and not being able to get back to sleep, and waking up unrefreshed. But after Sept. 11, 69% experienced symptoms of insomnia at least a few nights a week. * 27% rate their sleep as fair or poor on a typical night; after the attacks, 47% rated their sleep fair or poor. Most people need between 7 and 8.5 hours of sleep a night to be refreshed, wide-awake and energetic during the daytime, Walsh says. But 24% say they get less than the minimum amount of sleep they need to avoid feeling sleepy the next day; 29% say they get the minimum amount needed; and 43% say they get the amount needed to avoid sleepiness the next day. Respondents slept an average of 6.9 hours a night on weeknights, and 7.5 hours a night on weekends. The poll has a margin of error of plus or minus 3 percentage points. Illustration GRAPHIC, B/W, Julie Snider, USA TODAY, Source: Poll of 1,010 adults from the National Sleep Foundation (BAR GRAPH) ",2002,"USA TODAY; McLean, Va."
